,params,iou
505,"('image', 2, False, True, 1.5, True, True, 2)",0.08183397314278193
573,"('image', 2, False, False, 2, False, True, 2)",0.08183397314278193
567,"('image', 2, False, False, 1.7, False, False, 2)",0.08183397314278193
565,"('image', 2, False, False, 1.7, False, True, 2)",0.08183397314278193
557,"('image', 2, False, False, 1.5, False, True, 2)",0.08183397314278193
549,"('image', 2, False, False, 1.3, False, True, 2)",0.08183397314278193
541,"('image', 2, False, False, 1, False, True, 2)",0.08183397314278193
535,"('image', 2, False, False, 0.5, False, False, 2)",0.08183397314278193
533,"('image', 2, False, False, 0.5, False, True, 2)",0.08183397314278193
457,"('image', 2, True, False, 1.5, True, True, 2)",0.08183397314278193
525,"('image', 2, False, True, 2, False, True, 2)",0.08183397314278193
521,"('image', 2, False, True, 2, True, True, 2)",0.08183397314278193
519,"('image', 2, False, True, 1.7, False, False, 2)",0.08183397314278193
517,"('image', 2, False, True, 1.7, False, True, 2)",0.08183397314278193
515,"('image', 2, False, True, 1.7, True, False, 2)",0.08183397314278193
513,"('image', 2, False, True, 1.7, True, True, 2)",0.08183397314278193
511,"('image', 2, False, True, 1.5, False, False, 2)",0.08183397314278193
509,"('image', 2, False, True, 1.5, False, True, 2)",0.08183397314278193
507,"('image', 2, False, True, 1.5, True, False, 2)",0.08183397314278193
523,"('image', 2, False, True, 2, True, False, 2)",0.08183397314278193
455,"('image', 2, True, False, 1.3, False, False, 2)",0.08183397314278193
339,"('image', 1, False, False, 0.5, True, False, 2)",0.08183397314278193
449,"('image', 2, True, False, 1.3, True, True, 2)",0.08183397314278193
221,"('image', 1, True, True, 1.5, False, True, 2)",0.08183397314278193
403,"('image', 2, True, True, 1.3, True, False, 2)",0.08183397314278193
405,"('image', 2, True, True, 1.3, False, True, 2)",0.08183397314278193
213,"('image', 1, True, True, 1.3, False, True, 2)",0.08183397314278193
411,"('image', 2, True, True, 1.5, True, False, 2)",0.08183397314278193
205,"('image', 1, True, True, 1, False, True, 2)",0.08183397314278193
453,"('image', 2, True, False, 1.3, False, True, 2)",0.08183397314278193
197,"('image', 1, True, True, 0.5, False, True, 2)",0.08183397314278193
419,"('image', 2, True, True, 1.7, True, False, 2)",0.08183397314278193
421,"('image', 2, True, True, 1.7, False, True, 2)",0.08183397314278193
427,"('image', 2, True, True, 2, True, False, 2)",0.08183397314278193
429,"('image', 2, True, True, 2, False, True, 2)",0.08183397314278193
413,"('image', 2, True, True, 1.5, False, True, 2)",0.08183397314278193
445,"('image', 2, True, False, 1, False, True, 2)",0.08183397314278193
441,"('image', 2, True, False, 1, True, True, 2)",0.08183397314278193
439,"('image', 2, True, False, 0.5, False, False, 2)",0.08183397314278193
447,"('image', 2, True, False, 1, False, False, 2)",0.08183397314278193
437,"('image', 2, True, False, 0.5, False, True, 2)",0.08183397314278193
371,"('image', 1, False, False, 1.7, True, False, 2)",0.08183397721502411
