,params,iou
298,"('image', 1, False, True, 1, True, False, 1)",0.0317289951824663
328,"('image', 1, False, True, 2, True, True, 1)",0.031900271852659076
242,"('image', 1, True, False, 0.5, True, False, 1)",0.032793438390688705
264,"('image', 1, True, False, 1.5, True, True, 1)",0.03355298601819786
552,"('image', 2, False, False, 1.5, True, True, 1)",0.0348810970235285
198,"('image', 1, True, True, 0.5, False, False, 1)",0.035107194212937655
477,"('image', 2, True, False, 2, False, True, 2)",0.035407729908192895
342,"('image', 1, False, False, 0.5, False, False, 1)",0.03570634539091786
150,"('image', 0, False, False, 0.5, False, False, 1)",0.03584344774395971
54,"('image', 0, True, False, 0.5, False, False, 1)",0.03584344774395971
102,"('image', 0, False, True, 0.5, False, False, 1)",0.03584344774395971
6,"('image', 0, True, True, 0.5, False, False, 1)",0.03584344774395971
338,"('image', 1, False, False, 0.5, True, False, 1)",0.03776266885449746
98,"('image', 0, False, True, 0.5, True, False, 1)",0.03832783256963807
2,"('image', 0, True, True, 0.5, True, False, 1)",0.03832783256963807
50,"('image', 0, True, False, 0.5, True, False, 1)",0.03832783256963807
146,"('image', 0, False, False, 0.5, True, False, 1)",0.03832783256963807
521,"('image', 2, False, True, 2, True, True, 2)",0.03849164701106931
194,"('image', 1, True, True, 0.5, True, False, 1)",0.0385802930286517
534,"('image', 2, False, False, 0.5, False, False, 1)",0.03878164375465986
271,"('image', 1, True, False, 1.5, False, False, 2)",0.03919480349106638
530,"('image', 2, False, False, 0.5, True, False, 1)",0.0394909893907295
438,"('image', 2, True, False, 0.5, False, False, 1)",0.039632660223740894
434,"('image', 2, True, False, 0.5, True, False, 1)",0.03963343582287146
267,"('image', 1, True, False, 1.5, True, False, 2)",0.04134942056941756
294,"('image', 1, False, True, 0.5, False, False, 1)",0.04172554628180353
364,"('image', 1, False, False, 1.5, False, True, 1)",0.0439192674394811
290,"('image', 1, False, True, 0.5, True, False, 1)",0.044245942878641115
556,"('image', 2, False, False, 1.5, False, True, 1)",0.04434815524645703
469,"('image', 2, True, False, 1.7, False, True, 2)",0.04584447028357583
268,"('image', 1, True, False, 1.5, False, True, 1)",0.0458596835120111
473,"('image', 2, True, False, 2, True, True, 2)",0.04626357956772423
239,"('image', 1, True, True, 2, False, False, 2)",0.04655267226781893
544,"('image', 2, False, False, 1.3, True, True, 1)",0.047961377500804286
465,"('image', 2, True, False, 1.7, True, True, 2)",0.053074855290011165
352,"('image', 1, False, False, 1.3, True, True, 1)",0.05579814647738233
235,"('image', 1, True, True, 2, True, False, 2)",0.0559474364495273
256,"('image', 1, True, False, 1.3, True, True, 1)",0.05722844450973076
371,"('image', 1, False, False, 1.7, True, False, 2)",0.061050947851003845
263,"('image', 1, True, False, 1.3, False, False, 2)",0.061291231255799
422,"('image', 2, True, True, 1.7, False, False, 1)",0.06204529958993954
259,"('image', 1, True, False, 1.3, True, False, 2)",0.06219669124387028
47,"('image', 0, True, True, 2, False, False, 2)",0.06312282610233759
191,"('image', 0, False, False, 2, False, False, 2)",0.06312282610233759
95,"('image', 0, True, False, 2, False, False, 2)",0.06312282610233759
143,"('image', 0, False, True, 2, False, False, 2)",0.06312282610233759
457,"('image', 2, True, False, 1.5, True, True, 2)",0.06331583788860502
187,"('image', 0, False, False, 2, True, False, 2)",0.06346876595676101
91,"('image', 0, True, False, 2, True, False, 2)",0.06346876595676101
43,"('image', 0, True, True, 2, True, False, 2)",0.06346876595676101
139,"('image', 0, False, True, 2, True, False, 2)",0.06346876595676101
375,"('image', 1, False, False, 1.7, False, False, 2)",0.06400410822335492
136,"('image', 0, False, True, 2, True, True, 1)",0.06435018333131343
184,"('image', 0, False, False, 2, True, True, 1)",0.06435018333131343
40,"('image', 0, True, True, 2, True, True, 1)",0.06435018333131343
88,"('image', 0, True, False, 2, True, True, 1)",0.06435018333131343
188,"('image', 0, False, False, 2, False, True, 1)",0.0646283755446232
140,"('image', 0, False, True, 2, False, True, 1)",0.0646283755446232
44,"('image', 0, True, True, 2, False, True, 1)",0.0646283755446232
92,"('image', 0, True, False, 2, False, True, 1)",0.0646283755446232
335,"('image', 1, False, True, 2, False, False, 2)",0.06484677790528444
444,"('image', 2, True, False, 1, False, True, 1)",0.06505138083792615
432,"('image', 2, True, False, 0.5, True, True, 1)",0.0667587248040805
429,"('image', 2, True, True, 2, False, True, 2)",0.06784998166086512
461,"('image', 2, True, False, 1.5, False, True, 2)",0.06819918646881006
436,"('image', 2, True, False, 0.5, False, True, 1)",0.06830677043731916
563,"('image', 2, False, False, 1.7, True, False, 2)",0.06857307025477287
331,"('image', 1, False, True, 2, True, False, 2)",0.06997261597403213
418,"('image', 2, True, True, 1.7, True, False, 1)",0.07222475909624516
356,"('image', 1, False, False, 1.3, False, True, 1)",0.07370502102883883
260,"('image', 1, True, False, 1.3, False, True, 1)",0.07377388284523217
567,"('image', 2, False, False, 1.7, False, False, 2)",0.07586295242123664
425,"('image', 2, True, True, 2, True, True, 2)",0.07612436078346836
231,"('image', 1, True, True, 1.7, False, False, 2)",0.07773677110270451
548,"('image', 2, False, False, 1.3, False, True, 1)",0.07890489183784759
363,"('image', 1, False, False, 1.5, True, False, 2)",0.07934782103367517
427,"('image', 2, True, True, 2, True, False, 2)",0.08285623181125351
320,"('image', 1, False, True, 1.7, True, True, 1)",0.0828577579896093
367,"('image', 1, False, False, 1.5, False, False, 2)",0.08294089393762619
389,"('image', 2, True, True, 0.5, False, True, 2)",0.08369178028945538
437,"('image', 2, True, False, 0.5, False, True, 2)",0.0837554039242624
391,"('image', 2, True, True, 0.5, False, False, 2)",0.0840671973533385
385,"('image', 2, True, True, 0.5, True, True, 2)",0.0843024110805261
485,"('image', 2, False, True, 0.5, False, True, 2)",0.08435453203128025
387,"('image', 2, True, True, 0.5, True, False, 2)",0.08446088670794953
517,"('image', 2, False, True, 1.7, False, True, 2)",0.08458631736835519
527,"('image', 2, False, True, 2, False, False, 2)",0.08484669926166295
433,"('image', 2, True, False, 0.5, True, True, 2)",0.08528310929450249
487,"('image', 2, False, True, 0.5, False, False, 2)",0.08553138982924509
251,"('image', 1, True, False, 1, True, False, 2)",0.08569550616452022
483,"('image', 2, False, True, 0.5, True, False, 2)",0.08577267695445534
255,"('image', 1, True, False, 1, False, False, 2)",0.08603083114131249
513,"('image', 2, False, True, 1.7, True, True, 2)",0.08668105567967649
481,"('image', 2, False, True, 0.5, True, True, 2)",0.08676677747932106
227,"('image', 1, True, True, 1.7, True, False, 2)",0.08707786890928668
533,"('image', 2, False, False, 0.5, False, True, 2)",0.08751486915524007
179,"('image', 0, False, False, 1.7, True, False, 2)",0.08752338621318591
35,"('image', 0, True, True, 1.7, True, False, 2)",0.08752338621318591
131,"('image', 0, False, True, 1.7, True, False, 2)",0.08752338621318591
83,"('image', 0, True, False, 1.7, True, False, 2)",0.08752338621318591
341,"('image', 1, False, False, 0.5, False, True, 2)",0.08836716254695005
248,"('image', 1, True, False, 1, True, True, 1)",0.08921338615938688
327,"('image', 1, False, True, 1.7, False, False, 2)",0.08924321823818573
449,"('image', 2, True, False, 1.3, True, True, 2)",0.08934145432518788
324,"('image', 1, False, True, 1.7, False, True, 1)",0.08978199081862097
295,"('image', 1, False, True, 0.5, False, False, 2)",0.08986467558326734
323,"('image', 1, False, True, 1.7, True, False, 2)",0.08988540152646705
293,"('image', 1, False, True, 0.5, False, True, 2)",0.09016978426488817
439,"('image', 2, True, False, 0.5, False, False, 2)",0.09066190307155611
435,"('image', 2, True, False, 0.5, True, False, 2)",0.09070403190745255
529,"('image', 2, False, False, 0.5, True, True, 2)",0.09122606820963133
514,"('image', 2, False, True, 1.7, True, False, 1)",0.09138533074259383
343,"('image', 1, False, False, 0.5, False, False, 2)",0.09139213210263823
197,"('image', 1, True, True, 0.5, False, True, 2)",0.09156287086550643
289,"('image', 1, False, True, 0.5, True, True, 2)",0.09171351731164028
344,"('image', 1, False, False, 1, True, True, 1)",0.09184868116950497
535,"('image', 2, False, False, 0.5, False, False, 2)",0.09198601995952954
355,"('image', 1, False, False, 1.3, True, False, 2)",0.0921329407179105
39,"('image', 0, True, True, 1.7, False, False, 2)",0.09248032831381203
87,"('image', 0, True, False, 1.7, False, False, 2)",0.09248032831381203
135,"('image', 0, False, True, 1.7, False, False, 2)",0.09248032831381203
183,"('image', 0, False, False, 1.7, False, False, 2)",0.09248032831381203
445,"('image', 2, True, False, 1, False, True, 2)",0.09262189431130877
531,"('image', 2, False, False, 0.5, True, False, 2)",0.09278230667607153
193,"('image', 1, True, True, 0.5, True, True, 2)",0.09283095499286222
223,"('image', 1, True, True, 1.5, False, False, 2)",0.09361904934610912
337,"('image', 1, False, False, 0.5, True, True, 2)",0.09365479259771707
245,"('image', 1, True, False, 0.5, False, True, 2)",0.0936945418743887
339,"('image', 1, False, False, 0.5, True, False, 2)",0.09394643813917977
518,"('image', 2, False, True, 1.7, False, False, 1)",0.09409492560948786
199,"('image', 1, True, True, 0.5, False, False, 2)",0.09454197520964712
291,"('image', 1, False, True, 0.5, True, False, 2)",0.0946884166289215
359,"('image', 1, False, False, 1.3, False, False, 2)",0.0948524511039712
441,"('image', 2, True, False, 1, True, True, 2)",0.0948639478701609
